#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-29 18:56:11.078
#Trace: Trace 1
#Start: 0 Hz
#Stop: 10000 Hz
#BINs: 4097
#Rate: 20000 Hz
#Samples: 8192
#Channel: C1
#Type: Linear Average
#Count: 20 
#Window: Flat Top
#Trace: Trace 2
#Start: 0 Hz
#Stop: 10000 Hz
#BINs: 4097
#Rate: 20000 Hz
#Samples: 8192
#Channel: C2
#Type: Linear Average
#Count: 20 
#Window: Flat Top
#Channel: C1
#Range: 5.50114 V
#Offset: 0.000279596 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.48809 V
#Offset: -7.85371e-05 V
#Attenuation: 1 X
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 10 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-51.52417943095175,180,-28.48843572480225,0
2.44140625,-51.82933163877445,0.6065674691790391,-28.79947236430788,179.8947726258814
4.8828125,-55.33873838149162,0.9385045199240073,-32.30266312776207,179.6605205362967
7.32421875,-65.79227691497513,0.5926059139077651,-42.74501847548125,178.5130473336131
9.765625,-83.18735119941877,140.2480252460583,-65.4880271613725,155.3096200166732
12.20703125,-85.27708142404209,37.49358341667519,-79.63539906958476,70.5199230778617
14.6484375,-85.52232522477745,40.66933382939029,-80.18458445518503,66.95427345281003
17.08984375,-85.72409727736425,7.448155152694361,-80.31567140846597,62.17017127595907
19.53125,-85.80190095580099,84.25858150317892,-80.7918558004535,51.12140173637122
21.97265625,-85.66284944696733,69.85489251140821,-81.67966274123623,35.78689160791257
24.4140625,-86.24033178606004,69.15549880436132,-82.88160336112898,28.09349946352211
26.85546875,-85.98551106120746,65.5147366812112,-83.15801149525107,10.25826597730434
29.296875,-86.09822896342109,62.68670894198453,-82.48417365430939,2.135048411463116
31.73828125,-85.84149280033122,80.88402847517905,-82.03185826852577,158.5366152019716
34.1796875,-85.33789681471154,27.16280144983378,-81.25834879102344,138.5784876400775
36.62109375,-84.58749566650278,34.71194130082255,-81.16072406766637,120.3667368836576
39.0625,-84.56889377014042,32.68080391189383,-81.40938503806976,110.1505069229419
41.50390625,-85.80371184547116,32.90663939805678,-82.60744163014434,121.8380248627857
43.9453125,-86.26033803330165,37.88219345691881,-83.3937500084028,138.8406175450178
46.38671875,-85.98349008480045,42.77879675030324,-79.48090425145385,143.7913217473487
48.828125,-86.1427275749864,44.99884763082386,-78.12664802318159,153.2313118747375
51.26953125,-85.62796858150531,79.53350397903657,-77.83228882774647,159.6215531351816
53.7109375,-85.03628290541715,118.7982917529887,-78.76955479903086,156.3895077937183
56.15234375,-84.75178779062061,140.5640439281345,-81.96139711191968,1.841641854397404
58.59375,-84.72202770249314,150.1062194983392,-84.99014989645345,22.77655710261163
61.03515625,-84.92965592032255,149.0190793067692,-85.10879857863702,179.0955752330467
63.4765625,-85.45401606644518,163.3379297205483,-83.95616025948993,151.3380459999706
65.91796875,-86.24765178932711,10.66946573712358,-83.04297941005096,38.78257080167328
68.359375,-86.17618889040043,21.60885624627911,-83.0234590489697,23.75457877675747
70.80078125,-86.15954903281663,17.6844520077706,-83.3424669721004,14.96786470809787
73.2421875,-86.95668537509519,19.68942018405022,-84.35309564962046,10.43474041787937
75.68359375,-87.12879223780617,12.44191275933561,-84.89406191230762,27.127256002513
78.125,-85.58386461785048,159.6061772489287,-83.67687717812261,7.400478633209842
80.56640625,-84.40019597183998,108.2150540731347,-82.62911190243207,153.5564353223039
83.0078125,-84.20460356422137,70.92111457396177,-82.07433336548743,141.2277416859208
85.44921875,-84.59220870745453,66.72902416046387,-82.01764892726965,144.4656339188141
87.890625,-84.51367602836255,65.25129724107488,-82.53512904764625,149.2723145067266
90.33203125,-84.35686727138216,65.89793701464436,-82.60642048692894,162.1615690435848
92.7734375,-84.45438351651723,116.1184317720934,-82.76010721038176,7.499594438203557
95.21484375,-84.80753983697163,176.5086966242125,-82.93716256735175,16.75925389481882
97.65625,-85.17159524757075,17.8797739977211,-82.88777965708034,143.7364184010553
100.09765625,-84.58682543958193,32.55196131154952,-82.48902456246115,127.2508073304861
102.5390625,-83.80981777077474,41.15445748973308,-82.66113175751782,138.9002421859476
104.98046875,-84.1080968546882,60.96218792304793,-83.34793882060957,149.4278014064576
107.421875,-84.72963569595069,100.8871945002979,-83.8666033207315,157.6876894989975
109.86328125,-84.97063216346861,131.559377506963,-84.1866076160649,170.1607906019137
112.3046875,-85.65940836666265,134.7280879816897,-84.34200610568014,168.7972409901375
114.74609375,-86.19202625352564,148.5281813588918,-84.20231472403481,162.7696802773302
117.1875,-86.32978454291811,170.7461323462333,-84.84516662728026,157.54359417108
119.62890625,-86.62815909997443,16.21441403201438,-85.06135758628622,74.36234868349068
122.0703125,-86.59555997017219,42.16615065921307,-85.34601270178504,24.86737048650691
124.51171875,-86.59788123883737,60.84332916006198,-85.67148429341266,140.261318784401
126.953125,-86.21143526384196,62.41117071907256,-85.13879499011665,107.6355350837559
129.39453125,-85.74390203550692,125.3184563589265,-84.37706210493471,85.22971079985115
131.8359375,-85.91773239337019,70.21215899868055,-83.88236352989961,53.52841741236217
134.27734375,-86.16319510896483,40.5748810071841,-83.28989961998067,38.52324394741835
136.71875,-86.30888568438436,29.31486962782356,-83.14790219366897,38.18078658703958
139.16015625,-86.63320665247758,23.48232410917627,-83.45107462663339,37.50234851332297
141.6015625,-85.97804575719979,14.59818950512186,-83.63500599578798,66.94030697824263
144.04296875,-85.3321761587242,15.05812630604735,-84.39541139763021,96.65841014453029
146.484375,-85.13790106672054,14.16768327330446,-84.49945235796216,90.00975890440142
148.92578125,-85.15274519363652,177.0602755366997,-84.20624430418673,66.73299790636236
151.3671875,-85.71621442536808,158.1707991238829,-84.10048668182762,84.29534567226875
153.80859375,-85.71504965965993,130.6170669651071,-84.09221765415856,79.32831657062553
156.25,-85.4410600364028,103.203179848257,-84.66234055344472,72.48257172824727
158.69140625,-85.25747864098946,87.3466760840022,-85.65498009675412,63.3270958164695
161.1328125,-85.80314110601621,73.24173736166709,-86.11853518636818,11.58849219487789
163.57421875,-87.25635274604711,84.96032204964342,-85.63873023233016,138.5046642236504
166.015625,-87.75407805695531,141.971423262306,-84.86913225447728,127.5623925429165
168.45703125,-87.63272352187315,44.04067121549998,-84.4787010826154,130.4842186970425
170.8984375,-86.38351714816606,74.88556795498904,-84.33020613528426,142.1667433745251
